arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,114,102114,5cfacfdccc6e30a2e3e9b181b65a21d492d4a8e3a622bc02106b1ff249122362,-0.736113385030845,-0.7389372207820426,-0.13161009532412793,-0.8032439192600781,0.3017459241013868,0.3188833408987744,752
E1,115,102115,0a18bbfdda1986840549fbd819ce21834298bf17d20b5e0fb5b91aad7f197a03,-0.6016640820365232,-0.6059266521796239,-0.0928957389775873,-0.671369553213836,0.2974787830965262,0.3146277802995915,757
E1,116,102116,299cde1656326e3f7cad84ba01e998950d885037dfa43f37c408d7063df5f36b,-0.6111915894090493,-0.6153522062342771,-0.09521883455643887,-0.713600087109361,0.2921930191495202,0.30969133000453924,759
E1,117,102117,ed341141c8c761cea25cb50ff6c047262c18209b357b5ae13dc2f8cbdfaf052d,-0.6449130436985012,-0.6487128091474057,-0.10387192254455568,-0.7551760759161755,0.29829334374410843,0.3151384475714934,755
E1,118,102118,fa031d788922e8ba427c4ef5756125932309eaf4ed5b35680ce3a392aa8d7e50,-0.629196735520269,-0.6331646802946604,-0.09975156861253875,-0.7441601882297751,0.2961451180027271,0.3142873354516568,758
E1,119,102119,16a8fe5c79e5f6b3327cf72ad97333c0839f7b8eadcfc03b7bb1dec8954834f0,-0.6750643855767211,-0.6785415032204223,-0.11225530516318782,-0.7212969077885748,0.2980733077522568,0.31559237403540624,753
E1,120,102120,e74c608ad9a3c6b883c73212915ef35312c1bf932cefcff86bb4b7695b14a78a,-0.6736031460083416,-0.6770959002940709,-0.11183328697863748,-0.7333356781222307,0.3038328426517672,0.3201883794825238,756
E1,121,102121,71db0911c42807655afbae652f97ee8eac868b7003bc06faaa2f12944fa7ec5d,-0.563488458229199,-0.5681595435648721,-0.0840595220268755,-0.6513595944337951,0.29653932675926065,0.31468452110758055,751
E1,122,102122,4c32ac05dc65ddd08654d39decc561a5ddd01bc8303643ae763aaaef5745bbd7,-0.6098868354399316,-0.6140614143636348,-0.09489770790029983,-0.6587928502155473,0.2871198727260531,0.30271221062187925,764
E1,123,102123,fb6cf85316566641e9daf941da9ed5c8399fc199f82e0c2df7db2bf55c171f63,-0.7016145880842822,-0.7048075935116396,-0.12023466964399965,-0.7397091223758764,0.30073866574866215,0.3190535633227417,756
E1,124,102124,78c0c48889a8e5c21bb4f440d96894216cba544dfe5d7f0c43fe1056715d3cd5,-0.6289928751656568,-0.6329630014381802,-0.09969915605678603,-0.6727056602160925,0.29344388645151676,0.31042896050839763,754
E1,125,102125,d6f3f94ae631256c2796555ad5d6e22152c5c62904ddccfa872b1ea09bd78ef0,-0.601054762243964,-0.6053238526837246,-0.09274886438253815,-0.6935548841485913,0.3018480682237967,0.31928052655469813,758
E1,126,102126,17bb99784e360b5208823b2d98ab1132fa1a49d50d2cfb67881e546a45120cd5,-0.6964895391386393,-0.6997373874250823,-0.11864624650397726,-0.7745164804258156,0.30189571981277996,0.3197911938266001,754
E1,127,102127,8f5758e54289cfb589bf086bb307e2f40c95d8483dd5bc2f164fa1dd3cbef11b,-0.5184324502874331,-0.5235856774174033,-0.07447940712789602,-0.6443427622183726,0.28980454975943776,0.30696777122106217,759
E1,128,102128,29b69b7adde4463db3a64c8389b1e318e2dba49aabcbf81e691ea1c29d354040,-0.6023580221281155,-0.6066131664575194,-0.09306325587915887,-0.7021486460707113,0.2951267326888388,0.31247162959600544,763
E1,129,102129,121e4611e4c3e15c73b5685df197f5bd57c70fd1e05b13cc50340e3a95c16f57,-0.6940243346545651,-0.697298562954852,-0.11789072248117405,-0.7222151287863594,0.2992963908891159,0.3160463004993191,753
E1,130,102130,d4e776bd5b0faeee922b785bf82d811204bf42e2dba3014c5640df64925962b8,-0.687459204304721,-0.6908036856938027,-0.11590490364361472,-0.7074974551600912,0.29508317316603855,0.312244666364049,756
E1,131,102131,6780dbe395b7b7c3feec41c36df79c7757d90ef010a4fb08b5a0faff39db1e6f,-0.6275841791082899,-0.6315693797576998,-0.09933768200032489,-0.7123890249150018,0.295350491399267,0.3124148887880163,751
E1,132,102132,e387db713ecf47a53f0399e389794d683c9ac3c42350b68dcd757c80bbb562c4,-0.7239077558145858,-0.7268622033141314,-0.12744108449422098,-0.749853584665964,0.3035268589762093,0.32149341806627324,751
E1,133,102133,356dea2dd48ce8cf8d840e5211441357a286bd8d2a8e042d870bd0aa228adc76,-0.6469323296210188,-0.6507104868054019,-0.10441308824530016,-0.7030488176936356,0.3073374647696149,0.3248411257376305,751
E1,134,102134,1a59aa987967fd0f663cd81d7b3b453da600d255a0588323029e820f41882b19,-0.6102595138037756,-0.6144301047173721,-0.09498933358485051,-0.7021176449258872,0.300048260400941,0.3171811166591012,756
E1,135,102135,2046e1db2e16bc2abb253cbfcc3f5c3a005b444abfed9ae01537aea8bb781484,-0.7041005524991273,-0.7072669557617948,-0.12101395703206896,-0.7419133416723943,0.29790883472176916,0.3157058556513845,755
E1,136,102136,ad34f01f6a001c610cd1c80097b3e2410429e4464361b6317a8c502dff86d95e,-0.6440641693048564,-0.6478730185106667,-0.10364524652693474,-0.6922192508679683,0.28545470343381024,0.3022582841579664,765
E1,137,102137,1b44a33579238d33b8dd6d2e4d41622ed50c7d034c34c78d1af247270b08663c,-0.6355874595914385,-0.6394870175887654,-0.10140783115623586,-0.7441938826465396,0.296629376470055,0.31349296413980937,763
E1,138,102138,dfaf9a2482e1a830b1f49b53b98cab47d1a6e892c1c0e6b6fbf0a4539cbe0a18,-0.7332848791437319,-0.7361389825765527,-0.1306288604001129,-0.7931047482010654,0.28821430587339375,0.3052088061733999,755
