stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,166,1166,511,2859,166,1032872f6960da45,0.477889143467785,-0.4106765628555804,0.29468533580781037,511,2859
dataonly,1,orig,167,1167,511,2859,166,64f622fb68de3ef1,0.47300685911299634,-0.3770647928858546,0.2895471632627886,511,2859
dataonly,1,orig,168,1168,511,2859,166,eca7037db8fbb3cf,0.44436331329440315,-0.38119207378191594,0.28646615519439683,511,2859
dataonly,1,orig,169,1169,511,2859,166,64d59f356b0e90f3,0.4374138346815981,-0.41166062629691164,0.28843551389808547,511,2859
dataonly,1,orig,170,1170,511,2859,166,5226f1bd6bb5a160,0.4471482328292882,-0.37328406623123117,0.2869761316590681,511,2859
dataonly,1,orig,171,1171,511,2859,166,60cf5bfa55e12139,0.4738619577064678,-0.4508480653234527,0.29300430873955813,511,2859
dataonly,1,orig,172,1172,511,2859,166,8d35d6aa78d89496,0.44639116266015955,-0.3578892031383266,0.28903905728339,511,2859
dataonly,1,orig,173,1173,511,2859,166,c6a01961d7f78458,0.4867870068573663,-0.3610722446225043,0.2877582200248069,511,2859
dataonly,1,orig,174,1174,511,2859,166,e44136b1fe81cf45,0.45508957975109343,-0.4178366826412433,0.29130233595409233,511,2859
dataonly,1,orig,175,1175,511,2859,166,5da026b4a208f7b4,0.44809008186710897,-0.423326080939417,0.28677420758219235,511,2859
dataonly,1,orig,176,1176,511,2859,166,9978caf89635a3de,0.48957426211599087,-0.4096255453447537,0.2923032540820899,511,2859
dataonly,1,orig,177,1177,511,2859,166,af89909809daef0f,0.4624848359949183,-0.42210807009441603,0.28581198295233057,511,2859
dataonly,1,orig,178,1178,511,2859,166,019d5e1e30a8f299,0.4826926499181319,-0.3832462869488397,0.29000377136595284,511,2859
dataonly,1,orig,179,1179,511,2859,166,16318c5d4fbc1a4b,0.4476301081489029,-0.42870935877343513,0.2853753166126941,511,2859
dataonly,1,orig,180,1180,511,2859,166,cc2721f8939a1a82,0.49150728375904995,-0.4221069556791015,0.29217719086433525,511,2859
dataonly,1,orig,181,1181,511,2859,166,cccb79be5843869d,0.46736512761737625,-0.391076764680459,0.2902272829305095,511,2859
dataonly,1,orig,182,1182,511,2859,166,dca6e8f2e488cc5f,0.4483899911782092,-0.40962808393159417,0.286626520066694,511,2859
dataonly,1,orig,183,1183,511,2859,166,f607d255718c57db,0.4840385127021074,-0.3956945039680923,0.2896443624096238,511,2859
dataonly,1,orig,184,1184,511,2859,166,dcc5e492e55994dc,0.5016640405259594,-0.38344786179945567,0.2929259823938025,511,2859
dataonly,1,orig,185,1185,511,2859,166,3bdc378bd5302559,0.464645608100557,-0.3906813533270541,0.28753979211089165,511,2859
dataonly,1,orig,186,1186,511,2859,166,ec783ab123eca8af,0.46978243377222495,-0.3610722446225042,0.287856784523612,511,2859
dataonly,1,orig,187,1187,511,2859,166,5c28af8049305fa2,0.46603260357798426,-0.3858191933078902,0.2915098003416945,511,2859
dataonly,1,orig,188,1188,511,2859,166,015878f6b98ea05d,0.47666189778888035,-0.4015636214709685,0.2920941435638824,511,2859
dataonly,1,orig,189,1189,511,2859,166,4a7856a9aa1ab3a6,0.48063070278345377,-0.428726678965436,0.29047894619866244,511,2859
dataonly,1,orig,190,1190,511,2859,166,8d1f2fa7c304da46,0.48833452401264044,-0.36107224462250415,0.2909175497149172,511,2859
dataonly,1,orig,191,1191,511,2859,166,1095ae2bebce626e,0.45628640613432414,-0.42866646116988194,0.28672663173409596,511,2859
dataonly,1,orig,192,1192,511,2859,166,a679d6dbb8db1b62,0.4765578345802468,-0.37328406623123117,0.2896248984897074,511,2859
dataonly,1,orig,193,1193,511,2859,166,6313aafdf399e4d5,0.4703421487962487,-0.4275380605651089,0.28996307246161357,511,2859
dataonly,1,orig,194,1194,511,2859,166,6a49b0ad2c0fdddc,0.4817387540518612,-0.37593275074718346,0.29202152405048154,511,2859
dataonly,1,orig,195,1195,511,2859,166,bb954a7515a010c8,0.49678552357402217,-0.3680192601748263,0.29035067673692727,511,2859
dataonly,1,orig,196,1196,511,2859,166,f21017c2b1a80a75,0.473849209783463,-0.37328406623123117,0.2897305577533684,511,2859
dataonly,1,orig,197,1197,511,2859,166,df6f134cc23e38ed,0.5051625046475645,-0.38206336736002183,0.2917946659646023,511,2859
dataonly,1,orig,198,1198,511,2859,166,5270fc6c2d4f8622,0.46633022984197203,-0.4535827300583402,0.2917884669339413,511,2859
dataonly,1,orig,199,1199,511,2859,166,68bf4890251a11ef,0.46252157330084875,-0.37580817884399564,0.28806088688578785,511,2859
dataonly,2,orig,0,7000,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,1,7001,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,2,7002,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,3,7003,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,4,7004,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,5,7005,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
dataonly,2,orig,6,7006,511,2859,297,b3a529198292fb6d,0.365395518669398,-0.47794284636888146,0.326046913902131,511,2859
