key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_5291,2026-09-02,5291,邑昇,tpex,71.40,73.20,70.20,70.70,1725328,122928452,-1.70,
2026-09-02_5292,2026-09-02,5292,華懋,twse,237.00,239.00,227.00,234.50,475558,110955847,-6.5,
2026-09-02_5297,2026-09-02,5297,廣化,emerging,,81.8,70.3,81.8,1162505,,,
2026-09-02_5299,2026-09-02,5299,杰力,tpex,98.10,98.30,97.30,97.30,124987,12200094,-0.80,
2026-09-02_5301,2026-09-02,5301,寶得利,tpex,5.75,5.75,5.75,5.75,3042,17481,0.00,down
2026-09-02_5302,2026-09-02,5302,太欣,tpex,10.30,10.45,10.30,10.30,176270,1824779,-0.05,
2026-09-02_5306,2026-09-02,5306,桂盟,twse,93.90,93.90,92.80,93.20,72825,6782319,-0.7,
2026-09-02_5309,2026-09-02,5309,系統電,tpex,53.10,53.20,52.50,52.50,881908,46524822,-1.00,
2026-09-02_5310,2026-09-02,5310,天剛,tpex,24.25,24.25,24.25,24.25,1000,24250,-0.05,down
2026-09-02_5312,2026-09-02,5312,寶島科,tpex,91.00,91.80,90.60,91.80,8909,811854,0.20,
2026-09-02_5314,2026-09-02,5314,世紀*,tpex,35.95,35.95,34.20,34.20,3953214,138303629,-1.10,
2026-09-02_5315,2026-09-02,5315,光聯,tpex,19.00,19.00,18.80,18.90,818142,15426564,-0.25,
2026-09-02_5321,2026-09-02,5321,美而快,tpex,76.30,77.30,72.60,77.00,1242484,93201717,-1.20,
2026-09-02_5324,2026-09-02,5324,士開,tpex,12.15,12.30,12.10,12.30,167311,2049959,0.00,
2026-09-02_5328,2026-09-02,5328,華容,tpex,61.50,62.20,61.00,61.50,2605510,159728372,-0.80,
2026-09-02_5340,2026-09-02,5340,建榮,tpex,83.80,86.40,82.10,82.10,3558501,299071463,-2.20,
2026-09-02_5344,2026-09-02,5344,立衛,tpex,13.50,13.70,13.50,13.60,7130,96731,0.00,
2026-09-02_5345,2026-09-02,5345,馥鴻,tpex,22.25,22.25,22.00,22.00,7643,168419,0.10,
2026-09-02_5347,2026-09-02,5347,世界,tpex,151.00,151.50,149.00,149.50,11808377,1775618259,-4.00,
